,year,Carboxylic acid + amine reaction,Amide Schotten-Baumann,Sulfonamide Schotten-Baumann,Carboxylic ester + amine reaction,Isocyanate + amine reaction,Sulfonic ester Schotten-Baumann,Ester Schotten-Baumann
0,1976.0,15.2512998267,33.6221837088,3.81282495667,7.27902946274,6.06585788562,2.94627383016,5.54592720971
1,1977.0,16.0633484163,33.0316742081,7.01357466063,7.01357466063,6.56108597285,1.80995475113,7.69230769231
2,1978.0,17.4142480211,25.3298153034,6.86015831135,5.27704485488,6.06860158311,4.74934036939,4.22163588391
3,1979.0,13.4570765661,21.5777262181,6.72853828306,12.0649651972,9.04872389791,2.55220417633,9.97679814385
4,1980.0,25.4587155963,26.376146789,2.75229357798,6.42201834862,5.2752293578,6.19266055046,5.2752293578
5,1981.0,23.4285714286,27.619047619,3.04761904762,8.0,5.52380952381,3.2380952381,4.95238095238
6,1982.0,23.4957020057,26.0744985673,2.00573065903,4.29799426934,7.16332378223,4.01146131805,8.30945558739
7,1983.0,28.4931506849,26.301369863,1.3698630137,5.75342465753,9.58904109589,4.1095890411,8.76712328767
8,1984.0,26.4150943396,23.0607966457,2.72536687631,6.2893081761,3.14465408805,1.88679245283,8.17610062893
9,1985.0,25.5681818182,29.1666666667,3.0303030303,6.62878787879,3.2196969697,3.78787878788,7.57575757576
10,1986.0,24.8945147679,22.9957805907,4.85232067511,4.00843881857,11.3924050633,2.74261603376,7.805907173
11,1987.0,30.8148148148,26.3703703704,5.03703703704,4.2962962963,3.25925925926,4.88888888889,5.18518518519
12,1988.0,40.0793650794,20.7671957672,3.83597883598,7.67195767196,4.62962962963,3.7037037037,3.30687830688
13,1989.0,31.0267857143,30.46875,7.47767857143,4.12946428571,4.6875,3.125,4.46428571429
14,1990.0,22.6589595376,30.1734104046,7.74566473988,4.62427745665,6.24277456647,5.78034682081,5.66473988439
15,1991.0,23.8674033149,25.8563535912,8.06629834254,5.08287292818,5.74585635359,7.8453038674,5.41436464088
16,1992.0,29.5454545455,18.5227272727,5.90909090909,5.0,7.27272727273,5.56818181818,9.54545454545
17,1993.0,29.8493408663,25.1412429379,7.34463276836,3.38983050847,6.0263653484,6.12052730697,3.38983050847
18,1994.0,36.7003367003,19.9775533109,8.19304152637,3.7037037037,4.0404040404,5.49943883277,4.0404040404
19,1995.0,22.0994475138,23.9779005525,6.18784530387,3.75690607735,8.50828729282,4.30939226519,7.73480662983
20,1996.0,28.3242258652,33.7887067395,7.10382513661,2.09471766849,4.82695810565,4.82695810565,4.91803278689
21,1997.0,30.6945481703,28.1553398058,7.39357729649,2.61389096341,4.63032113518,5.52651232263,4.33159073936
22,1998.0,26.5786452354,29.5637198622,6.25717566016,1.54994259472,11.3662456946,4.13318025258,5.97014925373
23,1999.0,33.6129418814,20.6111443978,17.2558418214,3.23547034152,3.77471539844,4.5536249251,2.63630916717
24,2000.0,35.1176470588,19.0,11.2352941176,3.82352941176,5.58823529412,4.64705882353,5.35294117647
25,2001.0,36.4373897707,22.1164021164,15.3791887125,3.56261022928,3.24514991182,4.83245149912,2.25749559083
26,2002.0,39.1080233079,20.9099058718,12.483191394,6.83549977589,3.36172120126,3.65307037203,2.28597041685
27,2003.0,30.8768656716,22.7052238806,11.5671641791,9.19776119403,6.80970149254,3.63805970149,4.57089552239
28,2004.0,44.4804068894,16.3333718645,10.5536932147,4.3694370593,5.34042307248,3.59496012022,1.84949716796
29,2005.0,42.0899470899,19.6560846561,9.58994708995,3.91534391534,6.09788359788,3.57142857143,1.66666666667
30,2006.0,45.200777943,19.162567212,12.2869236929,3.42066125157,4.08420089235,3.12321244709,2.10502230866
31,2007.0,42.4068479355,19.2648539778,10.6747230614,6.92849949648,7.01913393756,2.7693856999,1.22860020141
32,2008.0,44.4329808271,15.5360674061,10.343048749,7.99587309776,4.45361533832,3.22414237813,1.26386381223
33,2009.0,47.2940198184,18.2315847828,8.5302473841,5.32187651583,4.98925923359,4.24087034856,1.12258332756
34,2010.0,50.7280016881,15.101638883,8.22255046775,5.37384820989,3.70682985159,3.48878103679,1.06914257579
35,2011.0,52.5396692133,16.1363445555,9.38628158845,4.61758038788,2.5690538158,2.93006464613,1.38527411636
36,2012.0,55.8791439362,15.8875367184,8.40956777172,3.43264792279,2.59336970206,2.38355014687,0.847671002937
37,2013.0,46.932342677,13.7228413824,11.8541033435,4.42418101993,3.7037037037,3.2759202972,1.29460767759
38,2014.0,56.0494387119,14.2079600862,7.77865971199,5.73761197415,1.73489057716,3.31103299694,1.42873341649
39,2015.0,48.1864570404,13.8463660185,9.41939042891,5.62681009516,2.22038339539,4.17873396773,1.54461453593
