,year,N-Boc deprotection,CO2H-Me deprotection,CO2H-Et deprotection,Methoxy to hydroxy,O-Bn deprotection,CO2H-tBu deprotection,N-Cbz deprotection,N-Bn deprotection,O-TBS deprotection
0,1976.0,0.355871886121,9.25266903915,30.2491103203,14.2348754448,5.33807829181,0.355871886121,1.7793594306,8.5409252669,0.0
1,1977.0,4.06091370558,13.7055837563,24.8730964467,6.09137055838,8.62944162437,4.06091370558,11.1675126904,6.09137055838,0.0
2,1978.0,5.55555555556,11.5740740741,19.4444444444,9.25925925926,4.16666666667,3.7037037037,9.25925925926,6.48148148148,0.0
3,1979.0,1.85185185185,12.3456790123,19.7530864198,8.64197530864,8.02469135802,1.85185185185,8.64197530864,6.17283950617,0.0
4,1980.0,3.4188034188,14.1025641026,40.5982905983,6.41025641026,5.55555555556,1.7094017094,4.2735042735,5.12820512821,0.0
5,1981.0,3.23529411765,8.82352941176,37.9411764706,9.41176470588,5.29411764706,3.82352941176,11.7647058824,2.64705882353,0.0
6,1982.0,2.29357798165,14.6788990826,23.8532110092,12.8440366972,5.50458715596,2.29357798165,3.66972477064,6.42201834862,0.0
7,1983.0,3.82775119617,23.9234449761,15.7894736842,11.961722488,10.04784689,6.22009569378,4.30622009569,2.39234449761,0.0
8,1984.0,4.51807228916,5.42168674699,27.7108433735,14.4578313253,11.7469879518,4.21686746988,4.51807228916,4.51807228916,0.0
9,1985.0,7.80856423174,15.8690176322,21.4105793451,10.0755667506,8.56423173804,7.55667506297,6.04534005038,7.05289672544,0.0
10,1986.0,2.5641025641,12.8205128205,18.6813186813,16.8498168498,12.4542124542,2.5641025641,11.3553113553,10.2564102564,0.0
11,1987.0,5.07246376812,9.17874396135,28.9855072464,16.1835748792,5.55555555556,7.48792270531,3.14009661836,2.17391304348,0.724637681159
12,1988.0,8.88324873096,17.0050761421,24.6192893401,10.6598984772,7.61421319797,2.53807106599,1.77664974619,6.34517766497,0.253807106599
13,1989.0,3.54330708661,14.9606299213,24.6062992126,13.188976378,6.49606299213,3.74015748031,6.49606299213,6.29921259843,0.590551181102
14,1990.0,8.67768595041,18.3884297521,19.2148760331,9.09090909091,10.1239669421,2.68595041322,1.85950413223,7.85123966942,0.413223140496
15,1991.0,6.66666666667,17.6576576577,22.7027027027,7.38738738739,5.58558558559,1.98198198198,2.52252252252,12.2522522523,1.62162162162
16,1992.0,6.98602794411,21.1576846307,20.3592814371,8.58283433134,9.18163672655,2.59481037924,6.3872255489,6.78642714571,0.798403193613
17,1993.0,9.23753665689,23.0205278592,18.1818181818,9.9706744868,6.45161290323,2.19941348974,2.63929618768,3.81231671554,2.19941348974
18,1994.0,6.15595075239,28.0437756498,20.1094391245,8.89192886457,6.42954856361,2.46238030096,2.59917920657,3.28317373461,1.36798905609
19,1995.0,11.7757009346,20.5607476636,16.4485981308,9.90654205607,8.97196261682,7.85046728972,3.17757009346,3.17757009346,1.30841121495
20,1996.0,11.214953271,12.7725856698,16.7185877466,7.16510903427,7.58047767394,16.6147455867,4.67289719626,3.32294911734,1.34994807892
21,1997.0,12.7872127872,18.8811188811,19.4805194805,9.09090909091,7.79220779221,7.99200799201,2.7972027972,3.6963036963,1.0989010989
22,1998.0,12.7701375246,16.1100196464,24.1650294695,6.97445972495,8.25147347741,5.59921414538,4.32220039293,3.73280943026,1.6699410609
23,1999.0,20.2037351443,12.0543293718,17.5721561969,7.72495755518,12.1392190153,3.82003395586,5.3480475382,4.92359932088,1.78268251273
24,2000.0,19.2073170732,13.4146341463,25.2286585366,7.01219512195,7.39329268293,5.41158536585,4.42073170732,3.0487804878,0.533536585366
25,2001.0,16.5333333333,21.3333333333,19.5555555556,9.46666666667,6.48888888889,4.62222222222,2.88888888889,3.33333333333,2.04444444444
26,2002.0,20.9953856295,21.4238628873,16.8754119974,8.00922874094,5.66908371786,3.62557679631,3.29597890574,4.11997363217,1.48319050758
27,2003.0,19.3998811646,21.8062982769,18.5086155674,8.34818775995,5.40701128936,5.13963161022,4.0404040404,2.82234105764,1.66369578134
28,2004.0,22.7326732673,20.7920792079,15.8613861386,8.81188118812,7.46534653465,3.30693069307,3.32673267327,3.40594059406,1.54455445545
29,2005.0,23.5022189349,20.8949704142,15.7174556213,6.78624260355,5.86168639053,6.10207100592,4.3823964497,3.06952662722,2.84763313609
30,2006.0,22.3294279807,19.9345279118,16.4197105445,9.2005513439,6.71950379049,4.20399724328,2.72226050999,3.22191592006,2.11922811854
31,2007.0,23.6897909724,22.0993638291,18.0702817328,6.08906392002,5.99818236898,3.37776431384,3.02938503484,3.21114813693,2.25689185095
32,2008.0,28.8573174458,19.9816681943,15.7959058967,5.36205316224,5.83562480904,4.67461044913,3.72746715551,2.06232813932,2.47479376719
33,2009.0,26.7114657707,21.0100797984,15.4871902562,5.2603947921,5.55438891222,5.19739605208,2.56194876102,2.47795044099,3.08693826123
