,year,median yield,upper quartile yield,lower quartile yield,number rxns
0,1976,67.0,82.0,50.0,662
1,1977,73.0,85.0,52.7,451
2,1978,72.0,86.75,54.25,627
3,1979,72.8,85.5,51.0,472
4,1980,71.0,84.875,53.85,718
5,1981,69.6,83.0,50.0,796
6,1982,70.0,87.0,51.0,506
7,1983,66.0,81.0,47.0,642
8,1984,71.0,85.0,52.0,705
9,1985,71.0,85.9,52.0,1014
10,1986,67.0,82.0,50.0,1091
11,1987,71.6,87.0,50.0,1513
12,1988,70.0,86.0,51.0,1282
13,1989,66.0,84.0,47.0,1999
14,1990,69.8,85.0,50.0,2085
15,1991,69.0,85.0,47.0,2243
16,1992,70.0,85.0,50.0,2373
17,1993,71.0,86.0,52.0,2699
18,1994,72.65,88.0,52.0,2242
19,1995,72.0,87.0,51.5,2370
20,1996,72.0,86.0,52.0,3336
21,1997,70.0,85.0,49.0,4504
22,1998,71.0,87.0,52.0,4537
23,1999,71.05,87.275,49.7,4746
24,2000,72.0,88.0,50.0,5269
25,2001,71.0,87.0,49.0,9087
26,2002,70.0,87.0,48.0,12988
27,2003,71.0,87.0,49.0,15612
28,2004,70.0,87.0,48.0,22368
29,2005,69.0,86.0,46.0,23422
30,2006,69.0,86.0,45.0,28638
31,2007,69.0,86.0,45.0,29889
32,2008,67.0,85.0,43.0,31494
33,2009,67.0,85.0,43.0,42378
34,2010,67.0,86.0,43.0,44789
35,2011,66.0,85.0,42.0,34617
36,2012,65.7,85.0,41.0,36677
37,2013,65.0,84.0,41.0,33515
38,2014,66.0,85.0,41.0,30890
39,2015,65.0,84.0,41.0,28059
