,year,Iodo Suzuki coupling,Chloro Suzuki coupling,Bromo Suzuki coupling,Iodo Suzuki-type coupling,Chloro Suzuki-type coupling,Bromo Suzuki-type coupling,Horner-Wadsworth-Emmons reaction,Knoevenagel condensation,Wittig olefination,Stille reaction,Sonogashira coupling,Grignard reaction
0,2000.0,72.0,53.0,68.0,0.0,43.5,78.0,64.5,52.0,66.4,80.5,66.5,87.0
1,2001.0,77.0,69.0,53.0,62.0,50.5,54.0,81.0,69.0,65.0,48.0,75.3,64.0
2,2002.0,58.0,70.0,75.0,80.0,78.0,68.5,67.0,60.0,72.0,58.14,70.0,56.0
3,2003.0,58.6,57.0,59.0,60.0,52.0,64.5,83.0,55.5,69.0,66.4,73.0,55.5
4,2004.0,68.0,57.0,60.0,62.0,53.0,57.5,71.7,61.0,79.0,52.0,68.5,68.0
5,2005.0,64.0,63.0,69.0,70.0,66.5,67.0,81.5,55.5,77.0,64.0,74.0,70.0
6,2006.0,59.0,61.0,65.0,70.5,66.0,62.0,79.0,56.0,71.0,59.0,71.0,72.0
7,2007.0,53.0,64.05,65.0,62.0,25.0,67.0,86.0,62.0,69.0,61.0,67.0,64.0
8,2008.0,67.0,65.0,57.0,44.0,71.0,52.0,81.0,47.5,80.0,58.0,65.0,70.0
9,2009.0,56.5,66.0,63.0,58.0,52.0,55.0,77.58,71.0,73.0,61.0,56.55,74.5
10,2010.0,66.0,60.0,61.0,48.5,56.0,58.0,81.0,64.0,74.5,53.0,54.0,68.0
11,2011.0,60.9,49.0,58.0,44.0,46.0,49.0,74.0,61.5,70.2,60.0,71.0,63.7
12,2012.0,61.95,52.0,56.0,58.5,55.0,56.0,70.0,63.85,67.0,61.5,63.0,63.5
13,2013.0,62.5,49.0,56.0,57.0,57.0,55.0,64.0,52.5,70.0,64.0,45.0,56.0
14,2014.0,55.0,55.0,61.0,42.0,51.4,61.85,76.5,34.2,69.5,58.35,68.2,68.5
15,2015.0,58.0,51.0,57.0,62.0,58.0,66.0,78.0,75.0,66.0,54.0,57.0,69.1
