,year,N-Bn deprotection,N-Cbz deprotection,N-Boc deprotection,CO2H-tBu deprotection,Methoxy to hydroxy,CO2H-Et deprotection,CO2H-Me deprotection,O-Bn deprotection,O-TBS deprotection
0,2000.0,92.5,84.0,89.0,91.5,77.0,82.0,82.0,84.0,80.0
1,2001.0,85.2,93.0,91.3,92.0,74.0,82.0,84.0,84.5,83.0
2,2002.0,87.0,90.0,88.0,87.5,71.0,82.5,84.0,82.0,69.0
3,2003.0,70.5,92.0,84.0,82.0,75.0,83.0,86.0,89.0,85.5
4,2004.0,87.0,86.0,90.0,86.0,73.0,87.0,86.0,84.0,84.0
5,2005.0,82.0,90.5,86.0,81.0,71.0,84.0,82.0,84.0,81.75
6,2006.0,82.0,89.0,87.0,86.0,73.0,85.0,83.0,89.0,77.0
7,2007.0,83.0,87.0,87.3,80.0,72.0,88.0,81.0,80.5,80.5
8,2008.0,82.0,87.0,86.0,85.5,76.5,86.0,82.0,87.0,77.0
9,2009.0,80.2,88.0,87.0,88.5,68.9,85.0,83.0,81.0,80.0
10,2010.0,73.0,86.7,85.0,87.0,79.5,82.1,84.0,86.0,73.0
11,2011.0,79.5,84.0,84.0,85.0,64.0,81.0,81.0,84.5,74.5
12,2012.0,80.0,90.0,82.0,71.2,68.655,84.0,80.0,81.0,78.0
13,2013.0,79.0,85.5,81.0,76.0,61.0,84.95,80.0,81.5,72.0
14,2014.0,90.0,87.0,82.0,74.0,71.5,85.0,82.0,67.5,77.0
15,2015.0,81.0,85.0,85.0,87.0,60.4,83.0,81.0,85.75,80.0
