"","CASRN","SMILES","EndPt","Source"
"1","1120-21-4","CCCCCCCCCCC","RB","Mansouri"
"2","106-88-7","CCC1CO1","RB","Mansouri"
"3","112-50-5","CCOCCOCCOCCO","RB","Mansouri"
"4","64-18-6","OC=O","RB","Mansouri"
"5","124-17-4","CCCCOCCOCCOC(C)=O","RB","Mansouri"
"6","112-15-2","CCOCCOCCOC(C)=O","RB","Mansouri"
"7","75-75-2","C[S](O)(=O)=O","RB","Mansouri"
"8","25415-84-3","CCCCC(CC)COC(=O)CCC","RB","Mansouri"
"9","108-38-3","Cc1cccc(C)c1","RB","Mansouri"
"10","552-16-9","OC(=O)c1ccccc1[N+]([O-])=O","RB","Mansouri"
"11","91-64-5","O=C1Oc2ccccc2C=C1","RB","Mansouri"
"12","109-66-0","CCCCC","RB","Mansouri"
"13","107-83-5","CCCC(C)C","RB","Mansouri"
"14","110-54-3","CCCCCC","RB","Mansouri"
"15","111-84-2","CCCCCCCCC","RB","Mansouri"
"16","112-52-7","CCCCCCCCCCCCCl","RB","Mansouri"
"17","112-82-3","CCCCCCCCCCCCCCCCBr","RB","Mansouri"
"18","110-58-7","CCCCCN","RB","Mansouri"
"19","75-50-3","CN(C)C","RB","Mansouri"
"20","67-56-1","CO","RB","Mansouri"
"21","71-41-0","CCCCCO","RB","Mansouri"
"22","75-56-9","CC1CO1","RB","Mansouri"
"23","107-21-1","OCCO","RB","Mansouri"
"24","57-55-6","CC(O)CO","RB","Mansouri"
"25","584-03-2","CCC(O)CO","RB","Mansouri"
"26","107-19-7","OCC#C","RB","Mansouri"
"27","107-98-2","COCC(C)O","RB","Mansouri"
"28","111-76-2","CCCCOCCO","RB","Mansouri"
"29","123-38-6","CCC=O","RB","Mansouri"
"30","5392-40-5","CC(C)=CCC\C(C)=C/C=O","RB","Mansouri"
"31","563-80-4","CC(C)C(C)=O","RB","Mansouri"
"32","67-64-1","CC(C)=O","RB","Mansouri"
"33","88-09-5","CCC(CC)C(O)=O","RB","Mansouri"
"34","65119-95-1","OC(=O)CCCCCCCCCCCCCCCCCCCCC=C","RB","Mansouri"
"35","79-20-9","COC(C)=O","RB","Mansouri"
"36","141-78-6","CCOC(C)=O","RB","Mansouri"
"37","108-05-4","CC(=O)OC=C","RB","Mansouri"
"38","110-49-6","COCCOC(C)=O","RB","Mansouri"
"39","105-38-4","CCC(=O)OC=C","RB","Mansouri"
"40","3050-69-9","CCCCCC(=O)OC=C","RB","Mansouri"
"41","77-68-9","CC(C)C(O)C(C)(C)COC(=O)C(C)C","RB","Mansouri"
"42","106-65-0","COC(=O)CCC(=O)OC","RB","Mansouri"
"43","105-99-7","CCCCOC(=O)CCCCC(=O)OCCCC","RB","Mansouri"
"44","103-24-2","CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC","RB","Mansouri"
"45","112-62-9","CCCCCCCC\C=C/CCCCCCCC(=O)OC","RB","Mansouri"
"46","79-41-4","CC(=C)C(O)=O","RB","Mansouri"
"47","80-62-6","COC(=O)C(C)=C","RB","Mansouri"
"48","106-91-2","CC(=C)C(=O)OCC1CO1","RB","Mansouri"
