dataset,ecfp,fcfp,topo,ap,maccs
../data/JCIM_59_1269\A2a,0.7439317034416104,0.7494977084795598,0.7439679678320814,0.6616118298153365,0.6154193527417018
../data/JCIM_59_1269\A2a,0.6591482002764011,0.5796305373071645,0.6712473052954809,0.5420170478861057,0.541431810827804
../data/JCIM_59_1269\A2a,0.7996635899513003,0.7812287991793568,0.7876198768640589,0.7696713777497367,0.6778065071462241
../data/JCIM_59_1269\A2a,0.7033904750833797,0.6587434042555524,0.5784685427047309,0.7036066410343801,0.6759745439886093
../data/JCIM_59_1269\A2a,0.8246748709834018,0.7623119129784511,0.8323104434884683,0.7383194508537547,0.7598334509842641
../data/JCIM_59_1269\A2a,0.6401876045481806,0.694745883258899,0.7108674541756832,0.6095111129911598,0.5836799719148436
../data/JCIM_59_1269\A2a,0.5731537726284661,0.7605957751333587,0.6521793649729243,0.7304521143254524,0.5680771041214814
../data/JCIM_59_1269\A2a,0.5464496143045856,0.6413854827927854,0.6043658395477167,0.5009221485493109,0.5557894793944002
../data/JCIM_59_1269\A2a,0.5678232870042985,0.7115431047610443,0.6862520941167196,0.5337490997824461,0.5670372004638349
../data/JCIM_59_1269\A2a,0.4398347136334997,0.4817348906976213,0.5475656811458685,0.5090226721507944,0.5607910450657794
../data/JCIM_59_1269\ABL1,0.5339379216157263,0.5745727134486067,0.5686693118285766,0.4098560057786026,0.5867015040986643
../data/JCIM_59_1269\ABL1,0.4818395407973536,0.5147609794282936,0.428920772415174,0.44930732634679493,0.4639252181418788
../data/JCIM_59_1269\ABL1,0.5560596801668607,0.5238940715961822,0.5579454831508938,0.550541472177293,0.5295590663486031
../data/JCIM_59_1269\ABL1,0.5447618244448318,0.5690866488898418,0.5156755199764487,0.49255579480602374,0.5842697112371692
../data/JCIM_59_1269\ABL1,0.6329998508883758,0.7016385855031609,0.6262956969281593,0.5704162125998855,0.660423558110155
../data/JCIM_59_1269\ABL1,0.6050548129150939,0.5903415411573205,0.5516651461361071,0.5508248656459616,0.5449198738559512
../data/JCIM_59_1269\ABL1,0.5517341521964283,0.5479127705364626,0.5319293582339748,0.4193647027674645,0.4367679362751081
../data/JCIM_59_1269\ABL1,0.419564295894709,0.49511166733731327,0.4507225085995018,0.3223801028135922,0.41600360586003104
../data/JCIM_59_1269\ABL1,0.5249111336780985,0.5654068736148583,0.45130861593812954,0.44221992152450873,0.5115748777724265
../data/JCIM_59_1269\ABL1,0.5025643025044466,0.5185372671215351,0.5253348304846683,0.5356239378854519,0.5183300523868173
../data/JCIM_59_1269\Acetylcholinesterase,0.6646663178465343,0.6245359222688023,0.672609764892822,0.6399337108144612,0.6215015407843059
../data/JCIM_59_1269\Acetylcholinesterase,0.6442559575910489,0.6516993088667173,0.6440949207766169,0.6503499193054649,0.6154680700129892
../data/JCIM_59_1269\Acetylcholinesterase,0.6921992921372704,0.6826950405545188,0.676534211898336,0.6664890118146134,0.6747717497576007
../data/JCIM_59_1269\Acetylcholinesterase,0.7058478821622176,0.687437547155094,0.6669955016330377,0.643626038190012,0.6691525379730985
../data/JCIM_59_1269\Acetylcholinesterase,0.6467797394848431,0.6498726080745588,0.6759684414226437,0.6107185872947747,0.6140076772368338
../data/JCIM_59_1269\Acetylcholinesterase,0.7009640950338886,0.6989916009296908,0.6999286644350573,0.6753309261168463,0.6826970478569452
../data/JCIM_59_1269\Acetylcholinesterase,0.6820147147252189,0.6610865251529088,0.6386536216476149,0.6255635309896428,0.6856786289425046
../data/JCIM_59_1269\Acetylcholinesterase,0.6971121753730287,0.6865867812645278,0.6993358165740455,0.6382133667350456,0.634760154173499
../data/JCIM_59_1269\Acetylcholinesterase,0.7255409364018042,0.7430511350304642,0.7144061244341637,0.716853994605575,0.7133141101970237
../data/JCIM_59_1269\Acetylcholinesterase,0.6609763912730491,0.63475002511481,0.6366216626283612,0.6110273737637855,0.6270231681902738
../data/JCIM_59_1269\Aurora-A,0.6705900944980026,0.6937796638040773,0.673721981068427,0.6245313746489771,0.6308515087167363
../data/JCIM_59_1269\Aurora-A,0.6407955273702384,0.655891821743795,0.6439478312467007,0.580019331245471,0.5952314460547301
../data/JCIM_59_1269\Aurora-A,0.6834299704870541,0.667049042962885,0.6760403968579562,0.6234723394280359,0.6239512145702358
../data/JCIM_59_1269\Aurora-A,0.6027572254511522,0.6582157222903681,0.6340650292533021,0.584225752584387,0.5381206180883709
../data/JCIM_59_1269\Aurora-A,0.6791885620939858,0.6872617287934532,0.6266976196825154,0.5461302415849664,0.5854887711657476
